Z_real,Z_imag,Spectrum_Number,Frequency_Hz
6.199940e+01,-2.501964e-03,4.000000e+00,1.000000e-02
1.029560e+01,-1.135654e+00,5.000000e+00,1.000000e+05
1.039946e+01,-1.497197e+00,5.000000e+00,7.196857e+04
1.054304e+01,-1.971587e+00,5.000000e+00,5.179475e+04
1.074353e+01,-2.592171e+00,5.000000e+00,3.727594e+04
1.102668e+01,-3.400503e+00,5.000000e+00,2.682696e+04
1.143129e+01,-4.446790e+00,5.000000e+00,1.930698e+04
1.201591e+01,-5.788581e+00,5.000000e+00,1.389495e+04
1.286813e+01,-7.485577e+00,5.000000e+00,1.000000e+04
1.411577e+01,-9.586936e+00,5.000000e+00,7.196857e+03
1.593616e+01,-1.210581e+01,5.000000e+00,5.179475e+03
1.855298e+01,-1.497644e+01,5.000000e+00,3.727594e+03
2.220036e+01,-1.799777e+01,5.000000e+00,2.682696e+03
2.703100e+01,-2.079191e+01,5.000000e+00,1.930698e+03
3.297468e+01,-2.283959e+01,5.000000e+00,1.389495e+03
3.963016e+01,-2.364788e+01,5.000000e+00,1.000000e+03
4.632549e+01,-2.299469e+01,5.000000e+00,7.196857e+02
5.237222e+01,-2.106073e+01,5.000000e+00,5.179475e+02
5.733272e+01,-1.832117e+01,5.000000e+00,3.727594e+02
6.110411e+01,-1.530299e+01,5.000000e+00,2.682696e+02
6.382213e+01,-1.240325e+01,5.000000e+00,1.930698e+02
6.571765e+01,-9.841009e+00,5.000000e+00,1.389495e+02
6.701806e+01,-7.693889e+00,5.000000e+00,1.000000e+02
6.790627e+01,-5.954918e+00,5.000000e+00,7.196857e+01
6.851513e+01,-4.577338e+00,5.000000e+00,5.179475e+01
6.893605e+01,-3.501799e+00,5.000000e+00,3.727594e+01
6.923024e+01,-2.670170e+00,5.000000e+00,2.682696e+01
6.943829e+01,-2.031333e+00,5.000000e+00,1.930698e+01
6.958710e+01,-1.542796e+00,5.000000e+00,1.389495e+01
6.969464e+01,-1.170367e+00,5.000000e+00,1.000000e+01
6.977306e+01,-8.870792e-01,5.000000e+00,7.196857e+00
6.983068e+01,-6.719391e-01,5.000000e+00,5.179475e+00
6.987328e+01,-5.087403e-01,5.000000e+00,3.727594e+00
6.990494e+01,-3.850466e-01,5.000000e+00,2.682696e+00
6.992855e+01,-2.913529e-01,5.000000e+00,1.930698e+00
6.994622e+01,-2.204157e-01,5.000000e+00,1.389495e+00
6.995948e+01,-1.667261e-01,5.000000e+00,1.000000e+00
6.996945e+01,-1.261008e-01,5.000000e+00,7.196857e-01
6.997694e+01,-9.536676e-02,5.000000e+00,5.179475e-01
6.998259e+01,-7.211902e-02,5.000000e+00,3.727594e-01
6.998685e+01,-5.453592e-02,5.000000e+00,2.682696e-01
6.999007e+01,-4.123827e-02,5.000000e+00,1.930698e-01
6.999250e+01,-3.118222e-02,5.000000e+00,1.389495e-01
6.999433e+01,-2.357789e-02,5.000000e+00,1.000000e-01
6.999571e+01,-1.782774e-02,5.000000e+00,7.196857e-02
6.999676e+01,-1.347978e-02,5.000000e+00,5.179475e-02
6.999755e+01,-1.019215e-02,5.000000e+00,3.727594e-02
6.999815e+01,-7.706299e-03,5.000000e+00,2.682696e-02
6.999860e+01,-5.826715e-03,5.000000e+00,1.930698e-02
6.999894e+01,-4.405550e-03,5.000000e+00,1.389495e-02
6.999920e+01,-3.331005e-03,5.000000e+00,1.000000e-02
1.029324e+01,-1.136966e+00,6.000000e+00,1.000000e+05
1.039537e+01,-1.499532e+00,6.000000e+00,7.196857e+04
1.053597e+01,-1.975763e+00,6.000000e+00,5.179475e+04
1.073138e+01,-2.599679e+00,6.000000e+00,3.727594e+04
1.100594e+01,-3.414083e+00,6.000000e+00,2.682696e+04
1.139622e+01,-4.471513e+00,6.000000e+00,1.930698e+04
1.195743e+01,-5.833858e+00,6.000000e+00,1.389495e+04
1.277263e+01,-7.568838e+00,6.000000e+00,1.000000e+04
1.396467e+01,-9.740067e+00,6.000000e+00,7.196857e+03
1.570861e+01,-1.238547e+01,6.000000e+00,5.179475e+03
1.823659e+01,-1.547789e+01,6.000000e+00,3.727594e+03
2.181728e+01,-1.886612e+01,6.000000e+00,2.682696e+03
2.668248e+01,-2.221384e+01,6.000000e+00,1.930698e+03
3.288653e+01,-2.499030e+01,6.000000e+00,1.389495e+03
4.014879e+01,-2.659070e+01,6.000000e+00,1.000000e+03
4.782022e+01,-2.659412e+01,6.000000e+00,7.196857e+02
5.508569e+01,-2.499960e+01,6.000000e+00,5.179475e+02
6.129489e+01,-2.222673e+01,6.000000e+00,3.727594e+02
6.616562e+01,-1.888015e+01,6.000000e+00,2.682696e+02
6.975113e+01,-1.549126e+01,6.000000e+00,1.930698e+02
7.228285e+01,-1.239723e+01,6.000000e+00,1.389495e+02
7.402948e+01,-9.749879e+00,6.000000e+00,1.000000e+02
7.522338e+01,-7.576765e+00,6.000000e+00,7.196857e+01
7.603983e+01,-5.840128e+00,6.000000e+00,5.179475e+01
7.660189e+01,-4.476403e+00,6.000000e+00,3.727594e+01
7.699273e+01,-3.417861e+00,6.000000e+00,2.682696e+01
7.726768e+01,-2.602580e+00,6.000000e+00,1.930698e+01
7.746336e+01,-1.977981e+00,6.000000e+00,1.389495e+01
7.760414e+01,-1.501223e+00,6.000000e+00,1.000000e+01
7.770641e+01,-1.138251e+00,6.000000e+00,7.196857e+00
7.778131e+01,-8.624174e-01,6.000000e+00,5.179475e+00
7.783654e+01,-6.530800e-01,6.000000e+00,3.727594e+00
7.787750e+01,-4.943617e-01,6.000000e+00,2.682696e+00
7.790800e+01,-3.741077e-01,6.000000e+00,1.930698e+00
7.793080e+01,-2.830440e-01,6.000000e+00,1.389495e+00
7.794788e+01,-2.141118e-01,6.000000e+00,1.000000e+00
7.796071e+01,-1.619475e-01,6.000000e+00,7.196857e-01
7.797036e+01,-1.224807e-01,6.000000e+00,5.179475e-01
7.797763e+01,-9.262570e-02,6.000000e+00,3.727594e-01
7.798311e+01,-7.004427e-02,6.000000e+00,2.682696e-01
7.798724e+01,-5.296593e-02,6.000000e+00,1.930698e-01
7.799036e+01,-4.005049e-02,6.000000e+00,1.389495e-01
7.799272e+01,-3.028372e-02,6.000000e+00,1.000000e-01
7.799449e+01,-2.289831e-02,6.000000e+00,7.196857e-02
7.799584e+01,-1.731378e-02,6.000000e+00,5.179475e-02
7.799685e+01,-1.309111e-02,6.000000e+00,3.727594e-02
7.799762e+01,-9.898231e-03,6.000000e+00,2.682696e-02
7.799820e+01,-7.484045e-03,6.000000e+00,1.930698e-02
7.799864e+01,-5.658658e-03,6.000000e+00,1.389495e-02
7.799897e+01,-4.278476e-03,6.000000e+00,1.000000e-02
1.029137e+01,-1.137995e+00,7.000000e+00,1.000000e+05
1.039213e+01,-1.501361e+00,7.000000e+00,7.196857e+04
1.053036e+01,-1.979027e+00,7.000000e+00,5.179475e+04
1.072171e+01,-2.605533e+00,7.000000e+00,3.727594e+04
1.098938e+01,-3.424645e+00,7.000000e+00,2.682696e+04
1.136809e+01,-4.490689e+00,7.000000e+00,1.930698e+04
1.191022e+01,-5.868892e+00,7.000000e+00,1.389495e+04
1.269476e+01,-7.633173e+00,7.000000e+00,1.000000e+04
1.383959e+01,-9.858463e+00,7.000000e+00,7.196857e+03
1.551573e+01,-1.260259e+01,7.000000e+00,5.179475e+03
1.795780e+01,-1.587091e+01,7.000000e+00,3.727594e+03
2.145564e+01,-1.955846e+01,7.000000e+00,2.682696e+03
2.629950e+01,-2.337805e+01,7.000000e+00,1.930698e+03
3.265164e+01,-2.681663e+01,7.000000e+00,1.389495e+03
4.036379e+01,-2.920346e+01,7.000000e+00,1.000000e+03
4.886259e+01,-2.994726e+01,7.000000e+00,7.196857e+02
5.726850e+01,-2.884178e+01,7.000000e+00,5.179475e+02
6.474039e+01,-2.618973e+01,7.000000e+00,3.727594e+02
7.078969e+01,-2.262380e+01,7.000000e+00,2.682696e+02
7.534434e+01,-1.879683e+01,7.000000e+00,1.930698e+02
7.860612e+01,-1.517710e+01,7.000000e+00,1.389495e+02
8.087292e+01,-1.200993e+01,7.000000e+00,1.000000e+02
8.242593e+01,-9.372527e+00,7.000000e+00,7.196857e+01
8.348680e+01,-7.245144e+00,7.000000e+00,5.179475e+01
8.421479e+01,-5.564346e+00,7.000000e+00,3.727594e+01
8.471886e+01,-4.254380e+00,7.000000e+00,2.682696e+01
8.507181e+01,-3.242686e+00,7.000000e+00,1.930698e+01
8.532185e+01,-2.466154e+00,7.000000e+00,1.389495e+01
8.550100e+01,-1.872651e+00,7.000000e+00,1.000000e+01
8.563066e+01,-1.420381e+00,7.000000e+00,7.196857e+00
8.572533e+01,-1.076459e+00,7.000000e+00,5.179475e+00
8.579496e+01,-8.153228e-01,7.000000e+00,3.727594e+00
8.584649e+01,-6.172624e-01,7.000000e+00,2.682696e+00
8.588480e+01,-4.671621e-01,7.000000e+00,1.930698e+00
8.591340e+01,-3.534754e-01,7.000000e+00,1.389495e+00
8.593480e+01,-2.674062e-01,7.000000e+00,1.000000e+00
8.595087e+01,-2.022667e-01,7.000000e+00,7.196857e-01
8.596295e+01,-1.529793e-01,7.000000e+00,5.179475e-01
8.597204e+01,-1.156930e-01,7.000000e+00,3.727594e-01
8.597889e+01,-8.748963e-02,7.000000e+00,2.682696e-01
8.598406e+01,-6.615868e-02,7.000000e+00,1.930698e-01
8.598795e+01,-5.002679e-02,7.000000e+00,1.389495e-01
8.599090e+01,-3.782750e-02,7.000000e+00,1.000000e-01
8.599312e+01,-2.860253e-02,7.000000e+00,7.196857e-02
8.599480e+01,-2.162694e-02,7.000000e+00,5.179475e-02
8.599607e+01,-1.635238e-02,7.000000e+00,3.727594e-02
8.599703e+01,-1.236412e-02,7.000000e+00,2.682696e-02
8.599775e+01,-9.348525e-03,7.000000e+00,1.930698e-02
8.599830e+01,-7.068394e-03,7.000000e+00,1.389495e-02
8.599872e+01,-5.344375e-03,7.000000e+00,1.000000e-02
1.028985e+01,-1.138824e+00,8.000000e+00,1.000000e+05
1.038949e+01,-1.502833e+00,8.000000e+00,7.196857e+04
1.052579e+01,-1.981648e+00,8.000000e+00,5.179475e+04
1.071384e+01,-2.610224e+00,8.000000e+00,3.727594e+04
1.097586e+01,-3.433089e+00,8.000000e+00,2.682696e+04
1.134504e+01,-4.505983e+00,8.000000e+00,1.930698e+04
1.187133e+01,-5.896770e+00,8.000000e+00,1.389495e+04
1.263014e+01,-7.684280e+00,8.000000e+00,1.000000e+04
1.373461e+01,-9.952487e+00,8.000000e+00,7.196857e+03
1.535095e+01,-1.277540e+01,8.000000e+00,5.179475e+03
1.771280e+01,-1.618571e+01,8.000000e+00,3.727594e+03
2.112218e+01,-2.011989e+01,8.000000e+00,2.682696e+03
2.591140e+01,-2.434137e+01,8.000000e+00,1.930698e+03
3.233210e+01,-2.837247e+01,8.000000e+00,1.389495e+03
4.036594e+01,-3.151383e+01,8.000000e+00,1.000000e+03
4.954867e+01,-3.304051e+01,8.000000e+00,7.196857e+02
5.899455e+01,-3.254003e+01,8.000000e+00,5.179475e+02
6.770952e+01,-3.015205e+01,8.000000e+00,3.727594e+02
7.498961e+01,-2.648377e+01,8.000000e+00,2.682696e+02
8.060056e+01,-2.228459e+01,8.000000e+00,1.930698e+02
8.468131e+01,-1.815860e+01,8.000000e+00,1.389495e+02
8.754203e+01,-1.446129e+01,8.000000e+00,1.000000e+02
8.950898e+01,-1.133513e+01,8.000000e+00,7.196857e+01
9.085262e+01,-8.788540e+00,8.000000e+00,5.179475e+01
9.177256e+01,-6.763552e+00,8.000000e+00,3.727594e+01
9.240727e+01,-5.178605e+00,8.000000e+00,2.682696e+01
9.284985e+01,-3.951041e+00,8.000000e+00,1.930698e+01
9.316209e+01,-3.006984e+00,8.000000e+00,1.389495e+01
9.338492e+01,-2.284469e+00,8.000000e+00,1.000000e+01
9.354563e+01,-1.733366e+00,8.000000e+00,7.196857e+00
9.366263e+01,-1.314006e+00,8.000000e+00,5.179475e+00
9.374847e+01,-9.954370e-01,8.000000e+00,3.727594e+00
9.381186e+01,-7.537307e-01,8.000000e+00,2.682696e+00
9.385892e+01,-5.705060e-01,8.000000e+00,1.930698e+00
9.389400e+01,-4.317043e-01,8.000000e+00,1.389495e+00
9.392024e+01,-3.266062e-01,8.000000e+00,1.000000e+00
9.393992e+01,-2.470567e-01,8.000000e+00,7.196857e-01
9.395470e+01,-1.868613e-01,8.000000e+00,5.179475e-01
9.396582e+01,-1.413204e-01,8.000000e+00,3.727594e-01
9.397420e+01,-1.068717e-01,8.000000e+00,2.682696e-01
9.398052e+01,-8.081631e-02,8.000000e+00,1.930698e-01
9.398528e+01,-6.111103e-02,8.000000e+00,1.389495e-01
9.398888e+01,-4.620916e-02,8.000000e+00,1.000000e-01
9.399160e+01,-3.494038e-02,8.000000e+00,7.196857e-02
9.399365e+01,-2.641923e-02,8.000000e+00,5.179475e-02
9.399520e+01,-1.997596e-02,8.000000e+00,3.727594e-02
9.399637e+01,-1.510397e-02,8.000000e+00,2.682696e-02
9.399726e+01,-1.142015e-02,8.000000e+00,1.930698e-02
9.399793e+01,-8.634757e-03,8.000000e+00,1.389495e-02
9.399843e+01,-6.528701e-03,8.000000e+00,1.000000e-02
1.028859e+01,-1.139506e+00,9.000000e+00,1.000000e+05
1.038731e+01,-1.504042e+00,9.000000e+00,7.196857e+04
1.052201e+01,-1.983799e+00,9.000000e+00,5.179475e+04
1.070730e+01,-2.614067e+00,9.000000e+00,3.727594e+04
1.096461e+01,-3.439992e+00,9.000000e+00,2.682696e+04
1.132581e+01,-4.518459e+00,9.000000e+00,1.930698e+04
1.183876e+01,-5.919461e+00,9.000000e+00,1.389495e+04
1.257570e+01,-7.725804e+00,9.000000e+00,1.000000e+04
1.364538e+01,-1.002882e+01,9.000000e+00,7.196857e+03
1.520900e+01,-1.291583e+01,9.000000e+00,5.179475e+03
1.749716e+01,-1.644261e+01,9.000000e+00,3.727594e+03
2.081804e+01,-2.058218e+01,9.000000e+00,2.682696e+03
2.553361e+01,-2.514699e+01,9.000000e+00,1.930698e+03
3.196749e+01,-2.970439e+01,9.000000e+00,1.389495e+03
4.022129e+01,-3.355451e+01,9.000000e+00,1.000000e+03
4.995748e+01,-3.587598e+01,9.000000e+00,7.196857e+02
6.033252e+01,-3.606467e+01,9.000000e+00,5.179475e+02
7.024524e+01,-3.406774e+01,9.000000e+00,3.727594e+02
7.878326e+01,-3.041581e+01,9.000000e+00,2.682696e+02
8.552216e+01,-2.592128e+01,9.000000e+00,1.930698e+02
9.050431e+01,-2.132015e+01,9.000000e+00,1.389495e+02
9.403148e+01,-1.709120e+01,9.000000e+00,1.000000e+02
9.646803e+01,-1.345740e+01,9.000000e+00,7.196857e+01
9.813408e+01,-1.046639e+01,9.000000e+00,5.179475e+01
9.927307e+01,-8.071899e+00,9.000000e+00,3.727594e+01
1.000566e+02,-6.189390e+00,9.000000e+00,2.682696e+01
1.006010e+02,-4.727026e+00,9.000000e+00,1.930698e+01
1.009836e+02,-3.600132e+00,9.000000e+00,1.389495e+01
1.012556e+02,-2.736490e+00,9.000000e+00,1.000000e+01
1.014512e+02,-2.077104e+00,9.000000e+00,7.196857e+00
1.015931e+02,-1.575003e+00,9.000000e+00,5.179475e+00
1.016970e+02,-1.193391e+00,9.000000e+00,3.727594e+00
1.017736e+02,-9.037488e-01,9.000000e+00,2.682696e+00
1.018304e+02,-6.841293e-01,9.000000e+00,1.930698e+00
1.018726e+02,-5.177247e-01,9.000000e+00,1.389495e+00
1.019042e+02,-3.917084e-01,9.000000e+00,1.000000e+00
1.019278e+02,-2.963156e-01,9.000000e+00,7.196857e-01
1.019456e+02,-2.241258e-01,9.000000e+00,5.179475e-01
1.019590e+02,-1.695073e-01,9.000000e+00,3.727594e-01
1.019690e+02,-1.281900e-01,9.000000e+00,2.682696e-01
1.019766e+02,-9.693864e-02,9.000000e+00,1.930698e-01
1.019823e+02,-7.330307e-02,9.000000e+00,1.389495e-01
1.019867e+02,-5.542864e-02,9.000000e+00,1.000000e-01
1.019899e+02,-4.191181e-02,9.000000e+00,7.196857e-02
1.019924e+02,-3.169064e-02,9.000000e+00,5.179475e-02
1.019942e+02,-2.396183e-02,9.000000e+00,3.727594e-02
1.019956e+02,-1.811777e-02,9.000000e+00,2.682696e-02
1.019967e+02,-1.369891e-02,9.000000e+00,1.930698e-02
1.019975e+02,-1.035774e-02,9.000000e+00,1.389495e-02
1.019981e+02,-7.831452e-03,9.000000e+00,1.000000e-02
